title,link,source,price,rating,reviews,delivery,extensions
F1 - On The Go!,https://printmyposter.in/products/f1-on-the-go%3Fvariant%3D44590228111653%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOooGRKHonUNze_iZTuwMq1hN3WJl_yh4BYRm9fNpooCvawKqYvoJTmg&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECJsM&usg=AOvVaw0QJ2IYH0pY7ST9xwRM0Sle,PrintMyPoster,₹199.00,,,₹70.00 delivery,
Puma Mercedes AMG Petronas Motorsports F1 A3ROCAT Mens Black Sneakers (Black) At ...,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-AMG-Petronas-F1-A3ROCAT-Sneakers/19103904/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECKgM&usg=AOvVaw2H-BJBxKZT9wR6uVmieZWp,Myntra,"₹4,949.00",5.0,1,Free delivery,
F1 Racing Car,https://www.toysrus.in/catalogredirect%3Fq%3DWEC-2020-049%26srsltid%3DAfmBOop-2f2zZIt7Ib8mDB29cCC6mhDqM2V7E1V3_JLKZqSu3LVM7GSvhuc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECLgM&usg=AOvVaw33d44Ir97L6WIILDGrcxjy,ToysRus,"₹1,139.00",,,Free delivery by 16 Aug and free 30-day returns,"₹1,000 OFF"
MaistoTech 582356 Red Bull F1 2023 1:24 RC Einsteiger Modellauto,https://www.conrad.com/p/-2895694%3FWT.srch%3D1%26vat%3Dtrue%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dshopping%26srsltid%3DAfmBOorNzQ7gDvOL-M6M4cMG5ege-pGdpeHwiW16vAE_yD3N8HUdfRD4VfU&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECMUM&usg=AOvVaw0hx52zmKP8GKGvoInXsVB8,Conrad Electronic International,"₹4,004.51",,,"₹5,461.95 delivery",
F1 circuits Poster A2 ( 16 X 24 inches ) / GLASS FRAME / Black,https://www.frameo.store/products/f1-circuits%3Fvariant%3D43163074724032%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoqbWm9rrL4yJbGAFNLGrpg_XCOLgLHrgMJoV-pfAjP_H7KBZcacHnA&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECNIM&usg=AOvVaw1lRpp3W8CvAkJAtZoee4jo,Frameo store,"₹1,499.00",,,Free delivery by 22 Aug and free 10-day returns,
PUMA Motorsport Unisex Black Mercedes F1 Cat Sneakers (6) by Myntra,https://www.nykaa.com/puma-mercedes-amg-petronas-f1-ridge-cat-black-sneakers/p/8049706%3Fptype%3Dproduct%26skuId%3D8049302%26srsltid%3DAfmBOoo3cuwjkZOwh73I3Hl1iXqusX42SSrtiXj9e9Lk93MpWYTeG7Eg5Lk&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECN4M&usg=AOvVaw2jdg7n_7Fu1dT8KwKNbaug,Nykaa.com,"₹4,399.00",,,Free delivery by 15 Aug and free 15-day returns,
PUMA Motorsport Unisex Black Mercedes AMG Petronas F1 A3ROCAT Sneakers (9) by Myntra,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-AMG-Petronas-F1-A3ROCAT-Sneakers/19103904/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECOsM&usg=AOvVaw0-OeRD3udk7Pi8gjOE6asf,Myntra,"₹4,949.00",,,Free delivery,
F1速報 Japan 2016Rd14イタリアGP号 (Digital),https://www.discountmags.com/au/magazine/f1su-bao-japan-september-7-2016-digital%3Foffer%3Dgshopau%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_term%3D44213a6dbf7b%26srsltid%3DAfmBOop3YaiJbnu_2AW46zQq0wzkL-humlqsFyBpQWDm409dUrbIJxBW2mM&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECPcM&usg=AOvVaw3NM2e5-Tenmfxw1B18gu8X,DiscountMags.com,₹516.02 + tax,,,Free delivery,
F1,https://www.amazon.in/F1/dp/1784402621%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA3MJL1NGM0DVRO&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECIUN&usg=AOvVaw1ZlqjdCEll-Br5qNPb4Cvt,Amazon.in,₹830.00,5.0,2,Free delivery,
Bburago - 1:18 Ferrari F1-75 Charles Leclerc #16 2022,https://model-universe.com/product/118-f1-2022-ferrari-f1-75-leclerc-with-helmet/%3Fsrsltid%3DAfmBOooovfO-GhL9LMUrrDw3YEdr3j-dE4w3RT19rjV-i60AtRN1INoG3Zs&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECJQN&usg=AOvVaw3y4u-VhFQoLVj0NVaClx79,Model Universe,"₹7,378.47",4.9,34,"₹1,580.28 delivery",SALE
